"﻿日平均氣溫(攝氏度) - 天文台"
"Daily Mean Temperature (°C) at the Hong Kong Observatory"
Year,Month,Day,Value,"data Completeness"
2021,1,1,11.8,C
2021,1,2,14.0,C
2021,1,3,16.7,C
2021,1,4,18.3,C
2021,1,5,18.8,C
2021,1,6,17.1,C
2021,1,7,15.3,C
2021,1,8,9.1,C
2021,1,9,10.7,C
2021,1,10,12.8,C
2021,1,11,10.6,C
2021,1,12,11.9,C
2021,1,13,13.4,C
2021,1,14,15.2,C
2021,1,15,17.3,C
2021,1,16,17.6,C
2021,1,17,16.6,C
2021,1,18,14.2,C
2021,1,19,15.4,C
2021,1,20,18.2,C
2021,1,21,20.1,C
2021,1,22,20.3,C
2021,1,23,20.2,C
2021,1,24,18.4,C
2021,1,25,19.2,C
2021,1,26,19.6,C
2021,1,27,18.9,C
2021,1,28,19.1,C
2021,1,29,16.6,C
2021,1,30,16.7,C
2021,1,31,18.4,C
2021,2,1,20.3,C
2021,2,2,20.9,C
2021,2,3,18.4,C
2021,2,4,19.4,C
2021,2,5,19.9,C
2021,2,6,20.7,C
2021,2,7,20.3,C
2021,2,8,19.9,C
2021,2,9,18.5,C
2021,2,10,16.5,C
2021,2,11,17.4,C
2021,2,12,18.4,C
2021,2,13,19.2,C
2021,2,14,19.9,C
2021,2,15,21.1,C
2021,2,16,20.3,C
2021,2,17,20.4,C
2021,2,18,18.5,C
2021,2,19,18.5,C
2021,2,20,19.6,C
2021,2,21,20.4,C
2021,2,22,21.4,C
2021,2,23,21.7,C
2021,2,24,20.3,C
2021,2,25,20.2,C
2021,2,26,22.3,C
2021,2,27,18.8,C
2021,2,28,19.9,C
2021,3,1,21.9,C
2021,3,2,21.4,C
2021,3,3,18.4,C
2021,3,4,18.9,C
2021,3,5,20.1,C
2021,3,6,20.5,C
2021,3,7,19.9,C
2021,3,8,19.7,C
2021,3,9,20.1,C
2021,3,10,19.8,C
2021,3,11,21.0,C
2021,3,12,23.2,C
2021,3,13,22.0,C
2021,3,14,21.3,C
2021,3,15,22.4,C
2021,3,16,24.0,C
2021,3,17,24.7,C
2021,3,18,23.4,C
2021,3,19,24.2,C
2021,3,20,25.0,C
2021,3,21,21.2,C
2021,3,22,17.8,C
2021,3,23,18.9,C
2021,3,24,20.7,C
2021,3,25,22.1,C
2021,3,26,21.6,C
2021,3,27,24.1,C
2021,3,28,24.8,C
2021,3,29,25.6,C
2021,3,30,26.6,C
2021,3,31,26.5,C
2021,4,1,26.7,C
2021,4,2,26.9,C
2021,4,3,26.9,C
2021,4,4,24.7,C
2021,4,5,22.4,C
2021,4,6,23.9,C
2021,4,7,23.1,C
2021,4,8,23.2,C
2021,4,9,21.0,C
2021,4,10,22.4,C
2021,4,11,23.1,C
2021,4,12,24.6,C
2021,4,13,25.9,C
2021,4,14,24.6,C
2021,4,15,22.2,C
2021,4,16,22.8,C
2021,4,17,22.8,C
2021,4,18,23.2,C
2021,4,19,22.5,C
2021,4,20,23.4,C
2021,4,21,24.5,C
2021,4,22,25.2,C
2021,4,23,27.3,C
2021,4,24,25.4,C
2021,4,25,24.7,C
2021,4,26,23.4,C
2021,4,27,23.2,C
2021,4,28,24.4,C
2021,4,29,24.1,C
2021,4,30,25.6,C
2021,5,1,26.3,C
2021,5,2,26.5,C
2021,5,3,24.3,C
2021,5,4,26.6,C
2021,5,5,26.6,C
2021,5,6,25.2,C
2021,5,7,26.6,C
2021,5,8,27.7,C
2021,5,9,28.3,C
2021,5,10,28.4,C
2021,5,11,29.2,C
2021,5,12,29.6,C
2021,5,13,29.5,C
2021,5,14,30.0,C
2021,5,15,29.9,C
2021,5,16,30.2,C
2021,5,17,30.4,C
2021,5,18,30.2,C
2021,5,19,30.3,C
2021,5,20,30.5,C
2021,5,21,30.7,C
2021,5,22,30.5,C
2021,5,23,31.4,C
2021,5,24,29.8,C
2021,5,25,28.8,C
2021,5,26,30.1,C
2021,5,27,30.3,C
2021,5,28,30.6,C
2021,5,29,30.2,C
2021,5,30,30.3,C
2021,5,31,29.6,C
"*** 沒有數據/unavailable"
"# 數據不完整/data incomplete"
"C 數據完整/data Complete"
