"﻿平均氣溫 (攝氏度) - 新青衣站"
"Mean Temperature (°C) - New Tsing Yi Station"
Year,Month,Day,Value,"data Completeness"
2021,1,1,11.4,#
2021,1,2,13.9,C
2021,1,3,16.7,C
2021,1,4,18.4,C
2021,1,5,18.4,C
2021,1,6,17.2,C
2021,1,7,15.0,C
2021,1,8,8.6,C
2021,1,9,10.6,C
2021,1,10,12.7,C
2021,1,11,10.3,#
2021,1,12,11.4,C
2021,1,13,11.9,C
2021,1,14,14.0,C
2021,1,15,16.1,C
2021,1,16,17.1,C
2021,1,17,16.7,C
2021,1,18,13.4,C
2021,1,19,15.7,C
2021,1,20,19.2,C
2021,1,21,20.9,C
2021,1,22,21.1,C
2021,1,23,19.6,C
2021,1,24,18.4,C
2021,1,25,19.2,C
2021,1,26,18.8,C
2021,1,27,19.3,C
2021,1,28,19.1,C
2021,1,29,16.6,C
2021,1,30,17.0,C
2021,1,31,19.1,C
2021,2,1,20.0,C
2021,2,2,20.2,C
2021,2,3,19.1,C
2021,2,4,20.2,C
2021,2,5,20.0,C
2021,2,6,19.1,C
2021,2,7,19.8,C
2021,2,8,20.1,C
2021,2,9,18.8,C
2021,2,10,16.6,C
2021,2,11,17.0,C
2021,2,12,17.2,C
2021,2,13,18.2,C
2021,2,14,18.7,C
2021,2,15,20.3,C
2021,2,16,20.1,C
2021,2,17,19.6,C
2021,2,18,18.4,C
2021,2,19,17.5,C
2021,2,20,17.8,C
2021,2,21,18.5,C
2021,2,22,19.8,C
2021,2,23,21.1,C
2021,2,24,20.7,C
2021,2,25,20.6,C
2021,2,26,22.2,C
2021,2,27,18.6,C
2021,2,28,20.3,C
2021,3,1,22.4,C
2021,3,2,21.3,C
2021,3,3,18.6,C
2021,3,4,19.0,C
2021,3,5,20.8,C
2021,3,6,21.4,C
2021,3,7,20.3,C
2021,3,8,19.7,C
2021,3,9,20.1,C
2021,3,10,20.1,C
2021,3,11,21.5,C
2021,3,12,22.2,C
2021,3,13,22.4,C
2021,3,14,21.7,C
2021,3,15,23.0,C
2021,3,16,23.1,C
2021,3,17,24.1,C
2021,3,18,24.1,C
2021,3,19,24.6,C
2021,3,20,24.0,C
2021,3,21,20.7,C
2021,3,22,17.6,C
2021,3,23,18.8,C
2021,3,24,20.7,C
2021,3,25,22.3,C
2021,3,26,22.0,C
2021,3,27,23.8,C
2021,3,28,24.1,C
2021,3,29,25.0,C
2021,3,30,26.3,C
2021,3,31,26.4,C
2021,4,1,26.3,C
2021,4,2,26.2,C
2021,4,3,25.7,C
2021,4,4,24.7,C
2021,4,5,22.5,C
2021,4,6,24.0,C
2021,4,7,23.4,C
2021,4,8,23.7,C
2021,4,9,20.6,C
2021,4,10,22.8,C
2021,4,11,23.6,C
2021,4,12,24.9,C
2021,4,13,25.1,C
2021,4,14,24.7,C
2021,4,15,22.7,C
2021,4,16,23.8,C
2021,4,17,23.1,C
2021,4,18,23.8,C
2021,4,19,22.9,C
2021,4,20,23.8,C
2021,4,21,25.0,C
2021,4,22,24.8,C
2021,4,23,26.1,C
2021,4,24,26.0,C
2021,4,25,25.5,C
2021,4,26,23.7,C
2021,4,27,23.6,C
2021,4,28,25.1,C
2021,4,29,24.1,C
2021,4,30,24.6,C
2021,5,1,25.6,C
2021,5,2,26.1,C
2021,5,3,24.7,C
2021,5,4,26.5,C
2021,5,5,26.6,C
2021,5,6,25.8,C
2021,5,7,26.2,C
2021,5,8,27.2,C
2021,5,9,27.9,C
2021,5,10,28.2,C
2021,5,11,28.9,C
2021,5,12,29.3,C
2021,5,13,29.5,C
2021,5,14,29.8,C
2021,5,15,29.7,C
2021,5,16,29.9,C
2021,5,17,30.0,C
2021,5,18,30.1,C
2021,5,19,30.1,C
2021,5,20,30.2,C
2021,5,21,30.2,C
2021,5,22,30.6,C
2021,5,23,30.4,C
2021,5,24,29.4,C
2021,5,25,29.1,C
2021,5,26,29.6,C
2021,5,27,30.2,C
2021,5,28,30.4,C
2021,5,29,30.5,C
2021,5,30,30.2,C
2021,5,31,29.0,C
"*** 沒有數據/unavailable"
"# 數據不完整/data incomplete"
"C 數據完整/data Complete"
