"﻿最高氣溫 (攝氏度) - 新青衣站"
"Maximum Temperature (°C) - New Tsing Yi Station"
Year,Month,Day,Value,"數據完整性/data Completeness"
2021,1,1,16.1,#
2021,1,2,19.5,#
2021,1,3,22.3,#
2021,1,4,22.0,C
2021,1,5,23.0,C
2021,1,6,21.1,C
2021,1,7,18.0,C
2021,1,8,10.2,C
2021,1,9,13.0,#
2021,1,10,14.9,#
2021,1,11,12.1,#
2021,1,12,17.1,C
2021,1,13,18.7,C
2021,1,14,21.5,C
2021,1,15,23.1,C
2021,1,16,22.0,#
2021,1,17,20.1,#
2021,1,18,18.5,#
2021,1,19,19.3,#
2021,1,20,23.6,C
2021,1,21,25.6,C
2021,1,22,26.9,#
2021,1,23,25.2,#
2021,1,24,21.7,C
2021,1,25,24.2,#
2021,1,26,24.4,#
2021,1,27,23.9,C
2021,1,28,24.2,#
2021,1,29,20.9,#
2021,1,30,21.5,#
2021,1,31,23.8,#
2021,2,1,25.4,#
2021,2,2,27.0,#
2021,2,3,23.7,#
2021,2,4,26.0,#
2021,2,5,25.5,C
2021,2,6,26.5,#
2021,2,7,26.5,C
2021,2,8,23.5,C
2021,2,9,20.3,#
2021,2,10,17.7,#
2021,2,11,19.5,#
2021,2,12,22.5,#
2021,2,13,23.0,C
2021,2,14,24.0,#
2021,2,15,27.2,C
2021,2,16,25.2,#
2021,2,17,24.9,C
2021,2,18,22.3,#
2021,2,19,22.0,#
2021,2,20,22.9,#
2021,2,21,23.8,C
2021,2,22,24.9,C
2021,2,23,27.5,#
2021,2,24,23.9,C
2021,2,25,25.7,#
2021,2,26,27.0,#
2021,2,27,20.7,C
2021,2,28,24.1,C
2021,3,1,26.6,#
2021,3,2,25.0,C
2021,3,3,20.1,C
2021,3,4,19.5,#
2021,3,5,22.6,#
2021,3,6,23.6,#
2021,3,7,21.0,#
2021,3,8,22.6,C
2021,3,9,24.0,C
2021,3,10,22.7,#
2021,3,11,25.6,C
2021,3,12,26.7,#
2021,3,13,25.7,C
2021,3,14,24.3,#
2021,3,15,27.9,#
2021,3,16,27.3,C
2021,3,17,28.4,C
2021,3,18,27.2,C
2021,3,19,28.7,C
2021,3,20,28.6,C
2021,3,21,23.9,C
2021,3,22,20.5,#
2021,3,23,20.1,#
2021,3,24,24.2,C
2021,3,25,26.4,C
2021,3,26,26.9,C
2021,3,27,27.6,#
2021,3,28,27.8,C
2021,3,29,28.1,C
2021,3,30,29.3,C
2021,3,31,29.7,#
2021,4,1,29.7,C
2021,4,2,29.6,#
2021,4,3,29.3,#
2021,4,4,27.3,C
2021,4,5,23.3,C
2021,4,6,28.3,#
2021,4,7,27.0,C
2021,4,8,26.5,C
2021,4,9,22.1,C
2021,4,10,27.3,#
2021,4,11,28.5,C
2021,4,12,29.7,C
2021,4,13,29.1,#
2021,4,14,28.8,C
2021,4,15,23.5,C
2021,4,16,26.7,C
2021,4,17,23.6,C
2021,4,18,27.3,C
2021,4,19,26.0,C
2021,4,20,27.4,#
2021,4,21,29.7,#
2021,4,22,29.0,C
2021,4,23,30.5,C
2021,4,24,29.8,C
2021,4,25,28.4,C
2021,4,26,25.8,#
2021,4,27,24.6,C
2021,4,28,28.3,C
2021,4,29,28.9,C
2021,4,30,29.8,C
2021,5,1,29.9,#
2021,5,2,30.0,#
2021,5,3,26.4,C
2021,5,4,30.5,C
2021,5,5,32.4,C
2021,5,6,30.2,C
2021,5,7,29.4,#
2021,5,8,30.5,C
2021,5,9,30.7,C
2021,5,10,31.6,#
2021,5,11,31.7,#
2021,5,12,31.9,#
2021,5,13,32.3,C
2021,5,14,32.9,#
2021,5,15,32.6,C
2021,5,16,33.0,C
2021,5,17,33.2,C
2021,5,18,33.0,C
2021,5,19,33.3,#
2021,5,20,33.4,C
2021,5,21,33.2,C
2021,5,22,33.5,C
2021,5,23,33.6,C
2021,5,24,33.1,#
2021,5,25,31.5,#
2021,5,26,33.3,C
2021,5,27,33.2,#
2021,5,28,33.2,#
2021,5,29,33.2,C
2021,5,30,32.7,#
2021,5,31,31.4,C
"*** 沒有數據/unavailable"
"# 數據不完整/data incomplete"
"C 數據完整/data Complete"
